location,skill,frequency
"Arizona, United States",project management,1
"Arizona, United States",Oracle Data Integrator,1
"Arizona, United States",morality,1
"Arizona, United States",migration,1
"Arizona, United States",ICT project management methodologies,1
"Arizona, United States",Pentaho Data Integration,1
"Arizona, United States",iron textiles,1
"Arizona, United States",claims procedures,1
"Houston, TX",ML (computer programming),1
"Houston, TX",create data sets,1
"Houston, TX",SDK Development,1
"Houston, TX",API Development,1
"Houston, TX",modern portfolio theory,1
"Houston, TX",database,1
"Houston, TX",Generative AI,1
"Houston, TX",MLOps,1
"Los Angeles, CA",semiconductors,1
"Los Angeles, CA",think creatively,1
"Los Angeles, CA",natural gas,1
"Los Angeles, CA",execute feasibility study,1
"Los Angeles, CA",business requirements techniques,1
"Los Angeles, CA",analyse business requirements,1
"Los Angeles, CA",create project specifications,1
"Los Angeles, CA",perform software unit testing,1
"Los Angeles, CA",ICT system integration,1
"Los Angeles, CA",identify process improvements,1
"Los Angeles, CA",translate artistic concepts to technical designs,1
"Los Angeles, CA",Process Flow Analysis,1
"Washington, United States",business analysis,1
"Washington, United States",Requirements Gathering,1
"Washington, United States",ICT project management methodologies,1
"Washington, United States",Software Development Life Cycle,1
"Washington, United States",system design,1
"Washington, United States",use computer telephony integration,1
"Washington, United States",demonstrate leadership in social service cases,1
"Washington, United States",ski,1
"Washington, United States",apply business acumen,1
"Washington, United States",conduct patch testing,1
"Washington, United States",execute integration testing,1
"Washington, United States",User Acceptance Testing,1
United States,develop business case,1
United States,prepare sales checks,1
United States,marketing mix,1
"Wayzata, MN",Data Governance,1
"Wayzata, MN",think creatively,1
"Wayzata, MN",hardware testing methods,1
"Wayzata, MN",audit techniques,1
"Wayzata, MN",perform quality audits,1
"Wayzata, MN",Data Lineage,1
"Wayzata, MN",natural gas,1
"Wayzata, MN",risk management,1
"Wayzata, MN",manage ICT data classification,1
"Wayzata, MN",apply information security policies,1
"Wayzata, MN",data protection,1
"Wayzata, MN",supervise waste disposal,1
"Wayzata, MN",document management,1
"Wayzata, MN",ICT project management methodologies,1
"Wayzata, MN",DevOps,1
"Wayzata, MN",project management,1
"Wayzata, MN",sing,1
"Wayzata, MN",database,1
"Wayzata, MN",knowledge management,1
"Wayzata, MN",solar energy,1
"Wayzata, MN",reverse engineering,1
"Wayzata, MN",develop with cloud services,1
"Wayzata, MN",Real-Time Data Processing,1
"Wayzata, MN",data warehouse,1
"Wayzata, MN",SQL,1
"Wayzata, MN","data extraction, transformation and loading tools",1
"Wayzata, MN",perform data cleansing,1
"Wayzata, MN",data models,1
"Wayzata, MN",track key performance indicators,1
"Wayzata, MN",R,1
"Wayzata, MN",data analytics,1
"Wayzata, MN",decision support systems,1
United States,Groovy,1
United States,utilise computer-aided software engineering tools,1
United States,types of tidal stream generators,1
United States,supervision of persons,1
United States,human-robot collaboration,1
United States,satisfy technical requirements,1
United States,liaise with quality assurance,1
United States,cyber security,1
United States,develop automated software tests,1
United States,natural gas,1
United States,monitor drilling fluid,1
United States,monitor international market performance,1
United States,meet commitments,1
United States,health care system,1
United States,report analysis results,1
"San Diego, CA",statistics,1
"San Diego, CA",data visualisation software,1
"San Diego, CA",root cause analysis,1
"San Diego, CA",solve problems,1
"San Diego, CA",supervision of persons,1
"San Diego, CA",talent management strategies,1
"San Diego, CA",natural gas,1
"San Diego, CA",lead process optimisation,1
"San Diego, CA",analyse pipeline database information,1
"San Diego, CA",data models,1
"San Diego, CA",semiconductors,1
"New York, NY",business analysis,1
"New York, NY",identify process improvements,1
"Dallas, TX",natural gas,1
"Dallas, TX",Pentaho Data Integration,1
"Dallas, TX",business intelligence,1
"Dallas, TX",web analytics,1
"Dallas, TX",semiconductors,1
"Dallas, TX",troubleshoot,1
"Dallas, TX",define data quality criteria,1
"Dallas, TX",data visualisation software,1
"Dallas, TX",solve problems,1
"Dallas, TX",data mining,1
"Dallas, TX",use computer telephony integration,1
"Dallas, TX",Data Governance,1
"Dallas, TX",sing,1
"Dallas, TX",radiotherapy,1
"Dallas, TX",perform data cleansing,1
"Dallas, TX",public relations,1
"Dallas, TX",Data Lineage,1
"Clearwater, FL",perform contract reporting and evaluation,1
"Clearwater, FL",web analytics,1
"Clearwater, FL",plan rig operations,1
"Clearwater, FL",control compliance of railway vehicles regulations,1
"Clearwater, FL",morality,1
"Clearwater, FL",audit contractors,1
"Clearwater, FL",manage system testing,1
"Clearwater, FL",identify process improvements,1
"Clearwater, FL",semiconductors,1
"Clearwater, FL",data mining,1
"Clearwater, FL","data extraction, transformation and loading tools",1
"Clearwater, FL",data visualisation software,1
"Clearwater, FL",Christianity,1
"Clearwater, FL",launch lifeboats,1
"Clearwater, FL",undertake employee screening,1
"Clearwater, FL",perform drug investigations,1
"Clearwater, FL",advise on eligibility of expenditures,1
"Clearwater, FL",natural gas,1
"Clearwater, FL",internal auditing,1
"Clearwater, FL",computer technology,1
"Clearwater, FL",business intelligence,1
"Clearwater, FL",project management,1
"Houston, TX",trade future commodities,1
"Houston, TX",energy market,1
"Houston, TX",market analysis,1
"Houston, TX",maintain pricing database,1
"Houston, TX",conduct training on monitoring and evaluation frameworks,1
"Houston, TX",radiotherapy,1
"Houston, TX",manage software releases,1
"Los Angeles, CA",interact with users to gather requirements,1
"Los Angeles, CA",documentation types,1
"Los Angeles, CA",develop business case,1
"Los Angeles, CA",social development,1
"Los Angeles, CA",identify processes for re-engineering,1
"Los Angeles, CA",keep up with digital transformation of industrial processes,1
"Los Angeles, CA",design enterprise architecture,1
"Los Angeles, CA",types of tidal stream generators,1
"Los Angeles, CA",business strategy concepts,1
"Los Angeles, CA",computer technology,1
"Los Angeles, CA",business intelligence,1
"Los Angeles, CA",information architecture,1
"Los Angeles, CA",Pentaho Data Integration,1
"Los Angeles, CA",define software architecture,1
"Los Angeles, CA",risk management,1
"Los Angeles, CA",engage with stakeholders,1
"Los Angeles, CA",demonstrate leadership in social service cases,1
"Los Angeles, CA",manage drilling team,1
"Los Angeles, CA",pricing strategies,1
"Los Angeles, CA",sales department processes,1
"Los Angeles, CA",manage agricultural staff,1
"Los Angeles, CA",supervision of persons,1
"Los Angeles, CA",assess your competences for artistic coaching,1
"Houston, TX",interact with users to gather requirements,1
"Houston, TX",engage with stakeholders,1
"Houston, TX",public relations,1
"Houston, TX",use computer telephony integration,1
"Houston, TX",write technical reports,1
"Houston, TX",systems development life-cycle,1
"Houston, TX",business process modelling,1
"Houston, TX",Requirements Engineering,1
"Houston, TX",analyse business requirements,1
"Houston, TX",provide technical documentation,1
"Houston, TX",Test Case Design,1
"Bellevue, WA",data engineering,1
"Bellevue, WA",analyse pipeline database information,1
"Bellevue, WA",information architecture,1
"Bellevue, WA",apply information security policies,1
"Bellevue, WA",define data quality criteria,1
"Bellevue, WA",solar energy,1
"Bellevue, WA",Scala,1
"Bellevue, WA",statistics,1
"Bellevue, WA",data analytics,1
"Bellevue, WA",natural gas,1
"Bellevue, WA",supervision of persons,1
"Bellevue, WA",types of tidal stream generators,1
"Bellevue, WA",social innovation,1
"Chesterfield, VA",data models,1
"Chesterfield, VA",design database scheme,1
"Chesterfield, VA",data mining,1
"Chesterfield, VA",Data Segmentation,1
"Chesterfield, VA",radiotherapy,1
"Chesterfield, VA",R,1
"Chesterfield, VA",data visualisation software,1
Greater Tampa Bay Area,statistics,1
Greater Tampa Bay Area,implement ICT coding conventions,1
Greater Tampa Bay Area,solve problems,1
Greater Tampa Bay Area,computer programming,1
"Old Westbury, NY",statistics,1
"Old Westbury, NY",process data,1
"Old Westbury, NY",computer programming,1
"Old Westbury, NY",conduct literature research,1
"Old Westbury, NY",hardware testing methods,1
"Old Westbury, NY",semiconductors,1
"Old Westbury, NY",manage documentation of prior learning assessments,1
"Old Westbury, NY",use clinical assessment techniques,1
"Old Westbury, NY",attend to detail in casting processes,1
"Old Westbury, NY",supervise work on design planning,1
"Old Westbury, NY",use personal organization software,1
"Old Westbury, NY",simplify communication in maritime management,1
Los Angeles Metropolitan Area,statistics,1
Los Angeles Metropolitan Area,Microsoft Excel,1
Los Angeles Metropolitan Area,use presentation software,1
Los Angeles Metropolitan Area,integrated circuits,1
Los Angeles Metropolitan Area,solve problems,1
Los Angeles Metropolitan Area,project management,1
Los Angeles Metropolitan Area,manage company transport strategy,1
"Los Angeles, CA",plan,1
"Los Angeles, CA",Financial Planning and Analysis,1
"Los Angeles, CA",financial forecasting,1
"Los Angeles, CA",make decisions,1
"Los Angeles, CA",solve problems,1
"Los Angeles, CA",support development of annual budget,1
"Los Angeles, CA",use specialised computer models for weather forecasting,1
"Springdale, AR",statistics,1
"Springdale, AR",report analysis results,1
"Springdale, AR",communication,1
"Springdale, AR",Dashboard Development,1
"Springdale, AR",make data-driven decisions,1
"Springdale, AR",project management,1
"Cincinnati, OH",business analysis,1
"Cincinnati, OH",project management,1
"Cincinnati, OH",statistics,1
"Cincinnati, OH",solve problems,1
"Cincinnati, OH",use microsoft office,1
"Cincinnati, OH",ICT project management methodologies,1
"Cincinnati, OH",human factors regarding safety,1
"New York, United States",business analysis,1
"New York, United States",Requirements Gathering,1
"New York, United States",ICT project management methodologies,1
"New York, United States",Software Development Life Cycle,1
"New York, United States",system design,1
"New York, United States",use computer telephony integration,1
"New York, United States",User Stories,1
"New York, United States",manage system testing,1
"New York, United States",execute integration testing,1
"New York, United States",User Acceptance Testing,1
"New York, United States",reverse engineering,1
"San Francisco, CA",beer downstream processing,1
"San Francisco, CA",sing,1
"San Francisco, CA",DevOps,1
"San Francisco, CA",manage ICT virtualisation environments,1
"San Francisco, CA",solve problems,1
"San Francisco, CA",think critically,1
"San Francisco, CA",Scala,1
"San Francisco, CA",types of tidal stream generators,1
"McLean, VA",create model,1
"McLean, VA",model mineral deposits,1
"McLean, VA",Model Deployment,1
"McLean, VA",maintain moulds,1
"McLean, VA",data engineering,1
"McLean, VA",analyse pipeline database information,1
"McLean, VA",distributed computing,1
"McLean, VA",reverse engineering,1
"McLean, VA",Explainable AI,1
"McLean, VA",Jenkins (tools for software configuration management),1
"McLean, VA",CI/CD,1
"McLean, VA",tools for ICT test automation,1
"McLean, VA",perform dimensionality reduction,1
"McLean, VA",Bias-Variance Tradeoff,1
"McLean, VA",validation of learning acquired through volunteering,1
"McLean, VA",gather data,1
"McLean, VA",Data Pipeline Optimization,1
"McLean, VA",Performance Optimization,1
"Minneapolis, MN",Rapid application development,1
"Minneapolis, MN",ICT project management methodologies,1
"Minneapolis, MN",User Stories,1
"Minneapolis, MN",business processes,1
"Minneapolis, MN",types of tidal stream generators,1
"Minneapolis, MN",ICT debugging tools,1
"Minneapolis, MN",liaise with quality assurance,1
"Minneapolis, MN",write technical reports,1
"Minneapolis, MN",hardware testing methods,1
"Minneapolis, MN",computer programming,1
"Minneapolis, MN",penetration testing tool,1
"Newark, NJ",Data Manipulation,1
"Newark, NJ",data engineering,1
"Newark, NJ",machine learning,1
"Newark, NJ",Automation,1
"Newark, NJ",use computer telephony integration,1
"Newark, NJ",data visualisation software,1
"Newark, NJ",report analysis results,1
"Newark, NJ",develop campaigns,1
"Newark, NJ",analyse pipeline database information,1
"Newark, NJ",define data quality criteria,1
"Newark, NJ",Data Governance,1
"Newark, NJ",data mining,1
"Newark, NJ",business intelligence,1
"Newark, NJ",Data Storytelling,1
"Baltimore, MD",data engineering,1
"Baltimore, MD",define data quality criteria,1
"Baltimore, MD",analyse pipeline database information,1
"Baltimore, MD",radiotherapy,1
"Baltimore, MD",Data Cube,1
"Baltimore, MD",business intelligence,1
"Baltimore, MD",asset management,1
"Baltimore, MD",financial markets,1
"Baltimore, MD",data science,1
"Baltimore, MD",Modern Data Stack,1
"Baltimore, MD",SAP Data Services,1
"Baltimore, MD",cloud technologies,1
"Baltimore, MD",Scala,1
"Baltimore, MD",develop efficiency plans for maritime shipping,1
"Baltimore, MD",SPARK,1
"Baltimore, MD",dbt,1
"Baltimore, MD",Apache Airflow,1
"Baltimore, MD",Apache Spark,1
"Baltimore, MD",integrated circuits,1
"Juno Beach, FL",statistics,1
"Juno Beach, FL",morality,1
"Juno Beach, FL",Data Governance,1
"Juno Beach, FL",perform data cleansing,1
"Juno Beach, FL",task algorithmisation,1
"Juno Beach, FL",solar energy,1
"Juno Beach, FL",SAS Data Management,1
"Tampa, FL",SAS Data Management,1
"Tampa, FL",building automation,1
"Tampa, FL",manage standards for data exchange,1
"Tampa, FL",seismic measurement techniques,1
"Tampa, FL",maintain database performance,1
"Tampa, FL",customer segmentation,1
"Tampa, FL",prepare financial projections,1
"San Antonio, TX",financial analysis,1
"San Antonio, TX",identify process improvements,1
"San Antonio, TX",radiotherapy,1
"San Antonio, TX",computer programming,1
"San Antonio, TX",comply with agricultural code of practice,1
"San Antonio, TX",interact with users to gather requirements,1
"San Antonio, TX",data mining,1
"San Antonio, TX",data models,1
"San Antonio, TX",Data Governance,1
"San Antonio, TX",define data quality criteria,1
"San Antonio, TX",accounting,1
"San Antonio, TX",explain financial jargon,1
"San Antonio, TX",manage workflow processes,1
"San Antonio, TX",semiconductors,1
"San Antonio, TX",data science,1
"Brighton, MI",business analysis,1
"Brighton, MI",computer programming,1
"Brighton, MI",business requirements techniques,1
"Brighton, MI",use computer telephony integration,1
"Brighton, MI",business processes,1
"Brighton, MI",blockchain consensus mechanisms,1
"Brighton, MI",learning management systems,1
"Brighton, MI",create prototype of user experience solutions,1
"Brighton, MI",Agile development,1
"New York, NY",data engineering,1
"New York, NY",cost management,1
"New York, NY",data storage,1
"New York, NY",information confidentiality,1
"New York, NY",data analytics,1
"New York, NY",Microservices,1
"New York, NY",conduct research on flora,1
"New York, NY",types of tidal stream generators,1
"New York, NY",advise on architectural matters,1
"Centennial, CO",think creatively,1
"Centennial, CO",data mining,1
"Centennial, CO",data models,1
"Centennial, CO",develop health and safety strategies in mining,1
"Centennial, CO",portfolio management in textile manufacturing,1
"Centennial, CO",risk management,1
"Centennial, CO",financial analysis,1
"Centennial, CO",reverse engineering,1
"Centennial, CO",assist in developing marketing campaigns,1
"Centennial, CO",project management,1
"Centennial, CO",geographic information systems,1
"Centennial, CO",supervision of persons,1
"Centennial, CO",rhetoric,1
"Centennial, CO",engage with stakeholders,1
"Centennial, CO",communication,1
"Centennial, CO",government representation,1
"Centennial, CO",perform contract reporting and evaluation,1
"Centennial, CO",data visualisation software,1
"Centennial, CO","data extraction, transformation and loading tools",1
"Centennial, CO",interpret seismic data,1
"Centennial, CO",SQL,1
"Centennial, CO",SAS language,1
"Centennial, CO",database management systems,1
"Centennial, CO",data warehouse,1
"Centennial, CO",Data Governance,1
"Centennial, CO",business intelligence,1
"Stamford, CT",business analysis,1
"Stamford, CT",business processes,1
"Stamford, CT",statistics,1
"Stamford, CT",interpret seismic data,1
"Stamford, CT",public relations,1
"Stamford, CT",interact with users to gather requirements,1
"Stamford, CT",engage with stakeholders,1
"Stamford, CT",write technical reports,1
"McLean, VA",business analysis,1
"McLean, VA",lead others,1
"McLean, VA",data models,1
"McLean, VA",risk management,1
"McLean, VA",marketing analytics,1
"McLean, VA",develop tourism products,1
"McLean, VA",pricing strategies,1
"McLean, VA",database management systems,1
"McLean, VA",define data quality criteria,1
"McLean, VA",data visualisation software,1
"McLean, VA",use computer telephony integration,1
"McLean, VA",make decisions,1
"McLean, VA",solve problems,1
"McLean, VA",think holistically,1
"McLean, VA",demonstrate leadership in social service cases,1
"McLean, VA",communication,1
"McLean, VA",simplify communication in maritime management,1
"McLean, VA",supervise work on design planning,1
"McLean, VA",use personal organization software,1
"McLean, VA",social innovation,1
"McLean, VA",show initiative,1
"McLean, VA",provide self management support,1
"McLean, VA",accept own accountability,1
"McLean, VA",mergers and acquisitions,1
"McLean, VA",demonstrate professional Pilates attitude,1
"McLean, VA",ensure client orientation,1
"McLean, VA",teach communication to clients,1
"McLean, VA",conflict management,1
"McLean, VA",have emotional intelligence,1
"McLean, VA",listen actively,1
"McLean, VA",ICT networking hardware,1
"McLean, VA",write technical reports,1
"McLean, VA",radiotherapy,1
"Mountain View, CA",Groovy,1
"Mountain View, CA",think creatively,1
"Mountain View, CA",deploy cloud resource,1
"Mountain View, CA",human-robot collaboration,1
"Mountain View, CA",principles of artificial intelligence,1
"Mountain View, CA",machine learning,1
"Mountain View, CA",Distributed Systems,1
"Mountain View, CA",High Performance Computing,1
"Mountain View, CA",cloud technologies,1
"Mountain View, CA",manage ICT virtualisation environments,1
"Mountain View, CA",Microservices,1
"Mountain View, CA",Scala,1
"Mountain View, CA",Fault Tolerance,1
"Mountain View, CA",Code Optimization,1
"Mountain View, CA",Performance Optimization,1
"Tampa, FL",project management,1
"Tampa, FL",design management,1
"Tampa, FL",solve problems,1
"Tampa, FL",control compliance of railway vehicles regulations,1
"Tampa, FL",evaluate project plans,1
"Tampa, FL",engage with stakeholders,1
"Tampa, FL",show diplomacy,1
"Tampa, FL",demonstrate leadership in social service cases,1
"Tampa, FL",manage drilling team,1
"Tampa, FL",liaise with quality assurance,1
"Tampa, FL",augmented reality,1
"Tampa, FL",solar energy,1
"Tampa, FL",policy analysis,1
"Tampa, FL",integrated development environment software,1
"Tampa, FL",metrology,1
"Tampa, FL",rhetoric,1
"Tampa, FL",plan resource allocation,1
"Tampa, FL",make decisions,1
"Tampa, FL",reputation management,1
"Tampa, FL",security of assets legislation,1
"Tampa, FL",ensure compliance with policies,1
"Tampa, FL",accept own accountability,1
"Chicago, IL",statistics,1
"Chicago, IL",Dataset Manipulation,1
"Chicago, IL",data visualisation software,1
"Chicago, IL",Microsoft Excel,1
"Chicago, IL",business analysis,1
"Chicago, IL",management consulting,1
"Chicago, IL",offer financial services,1
"Chicago, IL",analyse own performance,1
"Chicago, IL",operational research,1
"Chicago, IL",identify process improvements,1
"Chicago, IL",engage with stakeholders,1
"Chicago, IL",communication,1
"Chicago, IL",human-robot collaboration,1
"Chicago, IL",solve problems,1
"Chicago, IL",develop strategy to solve problems,1
"Chicago, IL",make data-driven decisions,1
United States,process data,1
United States,think critically,1
"Houston, TX",think creatively,1
"Houston, TX",hardware testing methods,1
"Houston, TX",business requirements techniques,1
"Houston, TX",system design,1
"Houston, TX",manage system testing,1
"Houston, TX",project management,1
"Houston, TX",data models,1
"Houston, TX",provide user documentation,1
"Houston, TX",System Integration,1
"Houston, TX",continuous improvement philosophies,1
"Houston, TX",lean manufacturing,1
"Ocala, FL",Microsoft Dynamics 365 Finance and Operations,1
"Ocala, FL",create business process models,1
"Ocala, FL",integrate system components,1
"Ocala, FL",manage system testing,1
"Ocala, FL",geographic information systems,1
"Ocala, FL",business analysis,1
"Ocala, FL",interact with users to gather requirements,1
"Ocala, FL",tools for software configuration management,1
"Ocala, FL",project management,1
"Ocala, FL",ICT software specifications,1
"Ocala, FL",implement corporate governance,1
"Ocala, FL",comply with legal regulations,1
"Ocala, FL",statistics,1
"Ocala, FL",apply basic programming skills,1
"Ocala, FL",Network Operations,1
"Ocala, FL",computer programming,1
"Ocala, FL",maintain information network hardware,1
"Ocala, FL",R,1
"Ocala, FL",IPC standards,1
United States,business knowledge,1
United States,data mining,1
United States,root cause analysis,1
United States,develop campaigns,1
United States,make decisions,1
United States,Workflow Management,1
"Tampa, FL",principles of artificial intelligence,1
"Tampa, FL",machine learning,1
"Tampa, FL",computer simulation,1
"Tampa, FL",lead process optimisation,1
"Tampa, FL",database management systems,1
"Tampa, FL",web programming,1
"Tampa, FL",use computer telephony integration,1
"Tampa, FL",data science,1
"Tampa, FL",natural language processing,1
"Tampa, FL",Unsupervised Learning,1
United States,business analysis,1
United States,seismic measurement techniques,1
United States,ski,1
United States,simplify communication in maritime management,1
"Middletown, PA",framework for a safety management system,1
"Middletown, PA",Requirements Elicitation,1
"Middletown, PA",develop business case,1
"Middletown, PA",social development,1
"Middletown, PA",ICT project management methodologies,1
"Middletown, PA",plan,1
"Middletown, PA",risk management,1
"Middletown, PA",manage currency exchange risk mitigation techniques,1
"Middletown, PA",business analysis,1
"Middletown, PA",interact with users to gather requirements,1
"Middletown, PA",liaise with quality assurance,1
"Auburn, AL",integrated development environment software,1
"Auburn, AL",types of tidal stream generators,1
"Auburn, AL",transportation software related to an ERP system,1
"Auburn, AL",System Performance Optimization,1
"Auburn, AL",advise on efficiency improvements,1
"Auburn, AL",ICT project management,1
"Auburn, AL",interact with users to gather requirements,1
"Auburn, AL",plan,1
"Auburn, AL",verify feasibility,1
"Auburn, AL",conduct patch testing,1
"Auburn, AL",documentation types,1
"Addison, TX",business analysis,1
"Addison, TX",interact with users to gather requirements,1
"Addison, TX",use computer telephony integration,1
"Addison, TX",validation of learning acquired through volunteering,1
"Addison, TX",project management,1
"Addison, TX",risk management,1
"Addison, TX",engage with stakeholders,1
"Addison, TX",rhetoric,1
"Addison, TX",ICT project management methodologies,1
"Foster City, CA",business analysis,1
"Foster City, CA",cost management,1
"Foster City, CA",statistics,1
"Foster City, CA",natural gas,1
"Foster City, CA",Source (digital game creation systems),1
"Foster City, CA",cloud technologies,1
"Foster City, CA",IT Service Management,1
"Centreville, VA",statistics,1
"Centreville, VA",recommend product improvements,1
"Centreville, VA",analyse business requirements,1
"Centreville, VA",identify process improvements,1
"Centreville, VA",project management,1
"Centreville, VA",engage with stakeholders,1
"Centreville, VA",data mining,1
"Centreville, VA",interpret seismic data,1
"Centreville, VA",estimate repair priority,1
"Centreville, VA",Requirements Elicitation,1
"Centreville, VA",Agile development,1
"Centreville, VA",marketing mix,1
"St Petersburg, FL",statistics,1
"St Petersburg, FL",SAS Data Management,1
"St Petersburg, FL",process data,1
"St Petersburg, FL",data visualisation software,1
"St Petersburg, FL",semiconductors,1
"St Petersburg, FL",human resource management,1
"St Petersburg, FL",manage truck drivers,1
"St Petersburg, FL",talent management strategies,1
"St Petersburg, FL",assess your competences for artistic coaching,1
"St Petersburg, FL",supervision of persons,1
"St Petersburg, FL",project management,1
"St Petersburg, FL",grading systems,1
"St Petersburg, FL",monitor curriculum implementation,1
"St Petersburg, FL",Data Governance,1
"St Petersburg, FL",business intelligence,1
"Alameda, CA",data models,1
"Alameda, CA",data engineering,1
"Alameda, CA",manage standards for data exchange,1
"Alameda, CA",statistics,1
"Alameda, CA",sing,1
"Alameda, CA",natural gas,1
"Alameda, CA",use computer telephony integration,1
"Alameda, CA",data visualisation software,1
"Alameda, CA",principles of artificial intelligence,1
"Alameda, CA",machine learning,1
"Alameda, CA",Generative AI,1
"Alameda, CA",radiotherapy,1
"Alameda, CA",Data Standardization,1
"Alameda, CA",identify process improvements,1
"Alameda, CA",building automation,1
"Alameda, CA",Data Governance,1
"Alameda, CA",Data Lineage,1
"Alameda, CA",solar energy,1
"Alameda, CA",mobile operating systems,1
"Alameda, CA",project management,1
"Alameda, CA",supply chain management,1
"Alameda, CA",operations management,1
"Merrimack, NH",business analysis,1
"Merrimack, NH",statistics,1
"Merrimack, NH",improve rail service delivery,1
"Merrimack, NH",IT Service Management,1
"Merrimack, NH",project management,1
"Merrimack, NH",define data quality criteria,1
"Merrimack, NH",computer programming,1
"Truckee, CA",machine learning,1
"Truckee, CA",principles of artificial intelligence,1
"Truckee, CA",data engineering,1
"Truckee, CA",natural gas,1
"Truckee, CA",information architecture,1
"Truckee, CA",radiotherapy,1
"Truckee, CA",SQL,1
"Truckee, CA",database,1
"Truckee, CA",conduct patch testing,1
"Truckee, CA",CI/CD,1
"Truckee, CA",conduct ICT code review,1
"Truckee, CA",ICT project management methodologies,1
"Truckee, CA",rhetoric,1
"Truckee, CA",process data,1
"Truckee, CA",AI Model Development,1
"Truckee, CA",AI Model Deployment,1
"Truckee, CA",AI Performance Optimization,1
"Truckee, CA",Scala,1
"Tampa, FL",analyse pipeline database information,1
"Tampa, FL",Data Flow Automation,1
"Tampa, FL",Infrastructure as a Service,1
"Tampa, FL",Platform as a Service,1
"Tampa, FL",SQL Server,1
"Tampa, FL",database development tools,1
"Tampa, FL",manage data,1
"Tampa, FL",assess reliability of data,1
"Tampa, FL",apply information security policies,1
"Tampa, FL",reverse engineering,1
"Tampa, FL",Jenkins (tools for software configuration management),1
Dallas-Fort Worth Metroplex,reverse engineering,1
Dallas-Fort Worth Metroplex,SQL Server,1
Dallas-Fort Worth Metroplex,"data extraction, transformation and loading tools",1
Dallas-Fort Worth Metroplex,Python,1
Dallas-Fort Worth Metroplex,Scala,1
Dallas-Fort Worth Metroplex,Pandas,1
Dallas-Fort Worth Metroplex,NumPy,1
Dallas-Fort Worth Metroplex,integrated circuits,1
Dallas-Fort Worth Metroplex,Apache Kafka,1
Dallas-Fort Worth Metroplex,augmented reality,1
Dallas-Fort Worth Metroplex,Domino Data Lab,1
Dallas-Fort Worth Metroplex,Salesforce Marketing Cloud,1
Dallas-Fort Worth Metroplex,customer relationship management,1
Dallas-Fort Worth Metroplex,Snowflake,1
Dallas-Fort Worth Metroplex,dbt,1
Dallas-Fort Worth Metroplex,stitch paper materials,1
Dallas-Fort Worth Metroplex,Tableau,1
Dallas-Fort Worth Metroplex,Apache Airflow,1
Dallas-Fort Worth Metroplex,Git,1
Dallas-Fort Worth Metroplex,CI/CD,1
"Brentwood, TN",SQL,1
"Princeton, NJ",natural gas,1
"Princeton, NJ",data mining,1
"Princeton, NJ",visual presentation techniques,1
"Princeton, NJ",deep learning,1
"Princeton, NJ",SQL,1
"Princeton, NJ",Amazon Web Services,1
"Warrendale, PA",machine learning,1
"Warrendale, PA",data engineering,1
"Warrendale, PA",database,1
"Warrendale, PA",Databricks,1
"Warrendale, PA",Python,1
"Warrendale, PA",TensorFlow,1
"Warrendale, PA",PyTorch,1
"Warrendale, PA",Scikit-learn,1
"Warrendale, PA",Git,1
"Warrendale, PA",CI/CD,1
"Warrendale, PA",Docker,1
"Warrendale, PA",Kubernetes,1
"Warrendale, PA",Neo4j,1
"Warrendale, PA",algorithms,1
"Warrendale, PA",data models,1
"Philadelphia, PA",Databricks,1
"Philadelphia, PA",Microsoft Azure,1
"Philadelphia, PA",Unity (digital game creation systems),1
"Philadelphia, PA","data extraction, transformation and loading tools",1
"Philadelphia, PA",apply information security policies,1
"Philadelphia, PA",Power BI,1
"Philadelphia, PA",create prototype of user experience solutions,1
"Philadelphia, PA",Generative AI,1
"Philadelphia, PA",DataOps,1
"Philadelphia, PA",Data Governance,1
"Houston, TX",principles of artificial intelligence,1
"Houston, TX",data engineering,1
"Milwaukee, WI",SAP Data Services,1
"Milwaukee, WI",computer programming,1
"Atlanta, GA",Amazon DynamoDB,1
"Atlanta, GA",Azure Cosmos DB,1
"Atlanta, GA",Oracle Warehouse Builder,1
"Atlanta, GA",MySQL,1
"Atlanta, GA","data extraction, transformation and loading tools",1
"Atlanta, GA",AWS Lambda,1
"Atlanta, GA",Google Cloud Dataflow,1
"Atlanta, GA",Azure Data Factory,1
"Atlanta, GA",Apache Spark,1
"Atlanta, GA",SPARK,1
"New York, NY",teach secondary education class content,1
"New York, NY",Amazon Web Services,1
"New York, NY",H2O.ai,1
"New York, NY",Source (digital game creation systems),1
"New York, NY",debt classification,1
"New York, NY",Sentiment Analysis,1
"New York, NY",Time Series Analysis,1
"New York, NY",deep learning,1
"New York, NY",database,1
"Houston, TX",Microsoft Excel,1
"Houston, TX",accounting,1
Greater Chicago Area,systems development life-cycle,1
Greater Chicago Area,business ICT systems,1
Greater Chicago Area,public relations,1
"Colorado Springs, CO",Python,1
"Colorado Springs, CO",R,1
"Colorado Springs, CO",SQL,1
"Colorado Springs, CO",HiveQL,1
"Colorado Springs, CO",NoSQL,1
"Colorado Springs, CO",JSON,1
"Colorado Springs, CO",XML,1
"Colorado Springs, CO",machine learning,1
"Colorado Springs, CO",statistics,1
"Colorado Springs, CO",principles of artificial intelligence,1
"Colorado Springs, CO",natural language processing,1
"Madison, WI",GATK,1
"Madison, WI",business intelligence,1
"Madison, WI",SOAP,1
"Madison, WI",Galaxy,1
